,Date,Low,High,Close,Open
5116,2025-10-10,1375.55,1387.75,1381.95,1377.95
5115,2025-10-09,1369.5,1380.15,1377.95,1371.2
5114,2025-10-08,1364.9,1389.7,1367.35,1384.2
5113,2025-10-07,1375.95,1395.75,1384.95,1376.1
5112,2025-10-06,1358.6,1377.2,1375.1,1362.2
5111,2025-10-03,1357.2,1371.0,1363.45,1363.0
5110,2025-10-01,1363.05,1378.2,1368.8,1364.25
5109,2025-09-30,1362.9,1376.05,1363.8,1374.65
5108,2025-09-29,1368.25,1388.4,1374.0,1380.1
5107,2025-09-26,1365.55,1382.4,1377.75,1372.4
5106,2025-09-25,1369.0,1384.85,1372.45,1381.0
5105,2025-09-24,1380.2,1396.0,1383.75,1389.0
5104,2025-09-23,1377.0,1394.9,1390.35,1390.0
5103,2025-09-22,1388.0,1410.45,1390.4,1402.7
5102,2025-09-19,1403.55,1416.0,1407.65,1415.0
5101,2025-09-18,1410.7,1421.8,1414.55,1420.0
5100,2025-09-17,1407.0,1415.9,1413.65,1409.95
5099,2025-09-16,1398.0,1407.7,1405.15,1402.05
5098,2025-09-15,1388.35,1400.95,1399.3,1395.0
5097,2025-09-12,1380.8,1396.1,1394.8,1383.5
5096,2025-09-11,1374.6,1385.45,1383.5,1376.65
5095,2025-09-10,1373.7,1388.65,1376.8,1382.2
5094,2025-09-09,1369.0,1381.3,1376.35,1378.85
5093,2025-09-08,1372.45,1385.9,1378.85,1384.0
5092,2025-09-05,1359.35,1380.8,1374.3,1365.9
5091,2025-09-04,1356.6,1374.45,1359.2,1370.0
5090,2025-09-03,1361.15,1376.45,1371.55,1369.9
5089,2025-09-02,1355.0,1384.65,1366.3,1357.75
5088,2025-09-01,1341.7,1363.2,1353.85,1357.85
5087,2025-08-29,1350.3,1403.0,1357.05,1384.2
5086,2025-08-28,1367.0,1392.8,1387.65,1387.05
5085,2025-08-26,1381.4,1409.95,1385.3,1409.95
5084,2025-08-25,1405.55,1419.0,1412.9,1413.05
5083,2025-08-22,1408.0,1423.6,1409.3,1423.6
5082,2025-08-21,1421.0,1431.8,1424.65,1424.0
5081,2025-08-20,1410.2,1424.6,1412.45,1414.95
5080,2025-08-19,1389.7,1421.8,1419.95,1389.7
5079,2025-08-18,1377.15,1395.0,1380.95,1388.3
5078,2025-08-14,1369.95,1380.75,1373.75,1379.8
5077,2025-08-13,1377.7,1391.7,1382.65,1389.8
5076,2025-08-12,1375.1,1401.25,1380.4,1384.65
5075,2025-08-11,1361.2,1388.2,1386.8,1370.0
5074,2025-08-08,1365.5,1396.75,1367.95,1387.95
5073,2025-08-07,1366.25,1393.9,1390.85,1385.1
5072,2025-08-06,1383.35,1395.95,1392.95,1391.9
5071,2025-08-05,1388.1,1411.0,1391.6,1411.0
5070,2025-08-04,1391.55,1416.0,1411.3,1406.85
5069,2025-08-01,1384.3,1405.25,1393.6,1387.95
5068,2025-07-31,1384.05,1402.4,1390.3,1389.65
5067,2025-07-30,1401.35,1423.25,1409.9,1417.95
5066,2025-07-29,1383.5,1420.95,1417.95,1383.5
5065,2025-07-28,1385.0,1407.1,1387.3,1392.1
5064,2025-07-25,1384.5,1401.95,1392.1,1401.95
5063,2025-07-24,1396.45,1422.05,1402.65,1420.0
5062,2025-07-23,1414.85,1426.9,1424.5,1426.9
5061,2025-07-22,1410.45,1433.2,1412.8,1433.2
5060,2025-07-21,1423.05,1474.95,1428.2,1474.95
5059,2025-07-18,1469.0,1485.05,1476.85,1482.1
5058,2025-07-17,1474.0,1490.35,1477.1,1490.25
5057,2025-07-16,1472.0,1490.9,1485.75,1472.0
5056,2025-07-15,1482.2,1496.05,1484.9,1485.1
5055,2025-07-14,1479.35,1499.95,1484.6,1494.45
5054,2025-07-11,1490.1,1513.95,1494.85,1512.2
5053,2025-07-10,1507.4,1524.85,1517.2,1519.05
5052,2025-07-09,1510.0,1551.0,1519.05,1531.05
5051,2025-07-08,1530.25,1545.6,1538.8,1535.0
5050,2025-07-07,1525.25,1544.5,1541.2,1525.25
5049,2025-07-04,1517.25,1529.5,1527.4,1521.0
5048,2025-07-03,1512.7,1531.7,1518.95,1518.75
5047,2025-07-02,1508.95,1530.0,1518.25,1529.9
5046,2025-07-01,1500.65,1531.2,1528.3,1500.65
5045,2025-06-30,1496.4,1524.95,1500.65,1516.05
5044,2025-06-27,1497.1,1521.7,1516.05,1498.05
5043,2025-06-26,1465.1,1498.7,1495.2,1469.95
5042,2025-06-25,1460.15,1472.0,1467.25,1462.05
5041,2025-06-24,1443.3,1475.0,1450.05,1466.75
5040,2025-06-23,1442.0,1463.0,1456.35,1442.7
5039,2025-06-20,1428.1,1470.0,1464.65,1430.0
5038,2025-06-19,1426.0,1439.85,1433.65,1430.0
5037,2025-06-18,1425.55,1443.0,1429.85,1430.0
5036,2025-06-17,1425.8,1446.0,1431.3,1438.0
5035,2025-06-16,1425.0,1441.9,1438.55,1425.05
5034,2025-06-13,1414.0,1435.35,1427.65,1420.0
5033,2025-06-12,1434.05,1456.85,1439.6,1452.2
5032,2025-06-11,1442.8,1468.0,1448.75,1444.9
5031,2025-06-10,1436.5,1453.4,1438.6,1448.6
5030,2025-06-09,1445.1,1456.9,1448.6,1454.55
5029,2025-06-06,1436.75,1451.35,1443.55,1443.65
5028,2025-06-05,1423.4,1454.5,1442.65,1426.95
5027,2025-06-04,1406.15,1425.0,1423.2,1410.4
5026,2025-06-03,1403.0,1427.05,1405.95,1419.8
5025,2025-06-02,1395.9,1417.65,1414.45,1415.95
5024,2025-05-30,1410.0,1430.75,1420.8,1417.8
5023,2025-05-29,1408.95,1420.15,1417.4,1413.35
5022,2025-05-28,1410.2,1422.2,1411.15,1421.7
5021,2025-05-27,1414.0,1437.3,1421.75,1429.15
5020,2025-05-26,1426.05,1441.2,1434.15,1430.4
5019,2025-05-23,1406.0,1433.7,1426.45,1406.0
5018,2025-05-22,1397.4,1422.5,1409.4,1420.0
5017,2025-05-21,1418.35,1436.1,1428.9,1424.95
5016,2025-05-20,1421.2,1444.55,1425.3,1435.65
5015,2025-05-19,1438.05,1454.3,1441.65,1454.3
5014,2025-05-16,1447.6,1460.2,1456.6,1453.75
5013,2025-05-15,1413.0,1461.0,1453.8,1424.25
5012,2025-05-14,1415.5,1429.8,1424.25,1418.1
5011,2025-05-13,1413.0,1447.35,1416.2,1433.2
5010,2025-05-12,1400.0,1438.9,1436.55,1400.0
5009,2025-05-09,1372.05,1395.0,1377.75,1372.05
5008,2025-05-08,1397.05,1420.5,1404.85,1404.95
5007,2025-05-07,1402.15,1424.9,1406.0,1412.05
5006,2025-05-06,1410.35,1432.0,1420.55,1432.0
5005,2025-05-05,1427.0,1439.75,1431.1,1427.0
5004,2025-05-02,1408.4,1426.0,1421.95,1408.4
5003,2025-04-30,1373.5,1411.85,1408.35,1404.9
5002,2025-04-29,1370.2,1410.9,1400.3,1370.35
5001,2025-04-28,1320.15,1374.9,1368.5,1332.35
5000,2025-04-25,1288.0,1325.25,1300.05,1301.0
4999,2025-04-24,1290.5,1304.45,1301.65,1298.65
4998,2025-04-23,1285.3,1305.75,1299.9,1295.85
4997,2025-04-22,1286.5,1303.0,1290.95,1300.0
4996,2025-04-21,1266.75,1300.0,1295.85,1271.55
4995,2025-04-17,1227.4,1279.45,1274.55,1238.65
4994,2025-04-16,1229.05,1240.9,1238.65,1239.85
4993,2025-04-15,1237.0,1256.0,1239.9,1256.0
4992,2025-04-11,1197.05,1222.45,1219.3,1200.0
4991,2025-04-09,1169.1,1189.5,1185.6,1172.4
4990,2025-04-08,1163.85,1196.8,1182.4,1177.85
4989,2025-04-07,1115.55,1171.0,1166.2,1125.0
4988,2025-04-04,1192.85,1245.2,1204.7,1240.0
4987,2025-04-03,1234.55,1251.2,1248.6,1238.95
4986,2025-04-02,1243.8,1256.0,1251.1,1250.35
4985,2025-04-01,1250.0,1277.8,1252.45,1274.6
4984,2025-03-28,1269.05,1295.7,1275.0,1279.3
4983,2025-03-27,1272.05,1285.15,1278.4,1275.05
4982,2025-03-26,1269.0,1293.95,1272.55,1290.25
4981,2025-03-25,1283.0,1307.0,1285.4,1307.0
